# Pressure Temperature SOLID V rho alpha beta_T molar_C_p C_p_per_kilogram MELT V rho alpha beta_T molar_C_p C_p_per_kilogram COMPOSITE V rho alpha beta_T molar_C_p C_p_per_kilogram
1.000000000000000000e+11 2.000000000000000000e+03 1.011285636841620012e-05 6.070869784793098006e+03 1.194953416970621316e-05 1.967603396829632555e-12 6.299481665001608377e+01 2.949249087976021428e+02 9.507801216794118813e-06 6.113443327078622133e+03 1.140949841655553922e-05 1.824703506302511322e-12 6.171849139887016378e+01 1.061816129498291502e+03 9.985762066724826846e-06 6.079384493250204287e+03 1.184152701907608040e-05 1.939023418724208874e-12 6.272671932683723384e+01 1.033265071836444577e+03
1.050000000000000000e+11 2.000000000000000000e+03 1.001537161550234551e-05 6.129960676640455858e+03 1.158665604532800087e-05 1.907704960522025844e-12 6.293052341783267423e+01 2.947015387346480111e+02 9.422730988828299729e-06 6.168636669444788822e+03 1.107393505287669738e-05 1.771011890920199601e-12 6.166046237317166856e+01 1.060817787606433967e+03 9.890953736487319796e-06 6.137695875201322451e+03 1.148411184683773916e-05 1.880366346601660434e-12 6.266388914693709467e+01 1.032223660160070040e+03
1.100000000000000000e+11 2.000000000000000000e+03 9.921693032341416475e-06 6.187838503453685917e+03 1.124879737067698957e-05 1.851947173847527769e-12 6.287086061261811665e+01 2.944922809861044470e+02 9.340842396916254649e-06 6.222715407679855161e+03 1.076118323246541553e-05 1.720971984477796902e-12 6.160647334607525494e+01 1.059888950583889027e+03 9.799814760789958952e-06 6.194813884298918310e+03 1.115127454303467239e-05 1.825752135973581151e-12 6.260555775295073033e+01 1.031256643557214375e+03
1.150000000000000000e+11 2.000000000000000000e+03 9.831538352224854227e-06 6.244580651112151827e+03 1.093338046841529780e-05 1.799902316620674697e-12 6.281533350282639105e+01 2.942958030034996000e+02 9.261905249160618710e-06 6.275750219887831008e+03 1.046891740987758012e-05 1.674211334050326212e-12 6.155610082264144722e+01 1.059022332546842790e+03 9.712074399004282316e-06 6.250814564867287118e+03 1.084048785670775427e-05 1.774764120106605242e-12 6.255124612238764570e+01 1.030356107874262079e+03
1.200000000000000000e+11 2.000000000000000000e+03 9.744655521709874563e-06 6.300257000177439295e+03 1.063817523551021719e-05 1.751200492148269083e-12 6.276351590052881591e+01 2.941109359013749440e+02 9.185713547268456192e-06 6.327804977250208140e+03 1.019512306188432498e-05 1.630407321803979482e-12 6.150897920385220630e+01 1.058211643663423274e+03 9.627490781515314576e-06 6.305766595591993791e+03 1.054956480078503942e-05 1.727041858079411243e-12 6.250054143653807870e+01 1.029515232227693787e+03
1.250000000000000000e+11 2.000000000000000000e+03 9.660818535795742462e-06 6.354930893018112329e+03 1.036124193968513677e-05 1.705520086495176532e-12 6.271503864490962599e+01 2.939366500261781425e+02 9.112082199901990861e-06 6.378937615885994092e+03 9.938045820610066328e-06 1.589279011069097200e-12 6.146479115524175540e+01 1.057451424453877053e+03 9.545846941840533734e-06 6.359732237591688317e+03 1.027660271587012370e-05 1.682271871409960544e-12 6.245308597780314130e+01 1.028728105710225464e+03
1.300000000000000000e+11 2.000000000000000000e+03 9.579823967578324841e-06 6.408659947484406985e+03 1.010088502386457640e-05 1.662580068274048646e-12 6.266958033804124284e+01 2.937720347787911805e+02 9.040844277518985035e-06 6.429200871044197811e+03 9.696150350144121927e-06 1.550580554926080224e-12 6.142325984515916559e+01 1.056736912256229743e+03 9.466947508755448263e-06 6.412768132196365514e+03 1.001993808912048618e-05 1.640180165604454961e-12 6.240856819530275601e+01 1.027989579886054571e+03
1.350000000000000000e+11 2.000000000000000000e+03 9.501488057730720694e-06 6.461496745766927233e+03 9.855615512600585822e-06 1.622133725707832552e-12 6.262685983427411429e+01 2.936162818506180656e+02 8.971848704754133632e-06 6.478642899227633279e+03 9.468086843574095060e-06 1.514095826709587238e-12 6.138414264096392259e+01 1.056063932774489786e+03 9.390615930719431996e-06 6.464925976459066987e+03 9.778109778795286992e-06 1.600526145908183327e-12 6.236671545919802639e+01 1.027295149160782557e+03
1.400000000000000000e+11 2.000000000000000000e+03 9.425644258701546828e-06 6.513489420979678471e+03 9.624120199428630015e-06 1.583963535983213764e-12 6.258663010708702501e+01 2.934686712176207379e+02 8.904958309013967296e-06 6.527307808410856524e+03 9.252663532684889458e-06 1.479634014533503499e-12 6.134722595222423536e+01 1.055428811360096461e+03 9.316692132867593752e-06 6.516253098465914263e+03 9.549828866079883597e-06 1.563097631693271792e-12 6.232728814189522382e+01 1.026640853054323770e+03
1.450000000000000000e+11 2.000000000000000000e+03 9.352141150874532065e-06 6.564682159360837431e+03 9.405236223328201518e-06 1.547876933961008636e-12 6.254867320685841037e+01 2.933285593767969885e+02 8.840048161108915483e-06 6.575236112368490467e+03 9.048823980734228313e-06 1.447025982621839512e-12 6.131232098375760131e+01 1.054828299946459083e+03 9.245030528007341437e-06 6.566792949962368766e+03 9.333953774809407894e-06 1.527706743693175053e-12 6.229007475043319175e+01 1.026023195826509664e+03
1.500000000000000000e+11 2.000000000000000000e+03 9.280840665006621004e-06 6.615115632407700105e+03 9.197929960808001566e-06 1.513702800704368024e-12 6.251279608927778497e+01 2.931953694168870470e+02 8.777004156874117070e-06 6.622465121937580989e+03 8.855628209268150001e-06 1.416121247244444833e-12 6.127926021594947770e+01 1.054259516495719936e+03 9.175498319237769781e-06 6.616585530313675008e+03 9.129469610500031592e-06 1.494186490012383103e-12 6.225488789805108070e+01 1.025439079956238402e+03
